Names,Per Serving,Total Fat,Sodium,Sugars,Type,Cholesterol,Carbohydrate,Protein,Saturated Fat,Trans Fat,Energy,Dietary Fibre,Salt,Calories,Fibre
Beryl's Chocolate Orange Cashew Nuts Cookies,25g,4.6g,,7.6g,cookie,,15.9g,2.6g,,,494kj,,,,
Beryl's Coconut Sable with Macadamia Nuts,25g,9.9g,,5.1g,cookie,,12.4g,1.4g,,,636kj,,,,
Beryl's Cookies Chocolate Sable,25g,7.2g,,9.2g,cookie,,16.3g,1.6g,,,563kj,,,,
Beryl's Strawberry Sable,25g,9.4g,,4.8g,cookie,,13.7g,1.4g,,,607kj,,,,
Beryl's Cookies Exquisite Selection (Tin),25g,4.0g,,5.0g,cookie,,11.7g,1.7g,,,378kj,,,,
Chipsmore Cookies Multipack - Original,28g,6g,98mg,8.5g,cookie,,19.4g,1.5g,,,137kcal,,,,
Chipsmore Cookies Multipack - Double Chocolate,28g,5.9g,94mg,8.5g,cookie,,19.4g,1.6g,,,135kcal,,,,
FUEL10K Double Chocolate High Protein Oat Cookie,100g,14.9g,,3.8g,cookie,,40.7g,21.5g,,,400kcal,,0.70g,,8.6g
Jules Destrooper Biscuits - Belgian Chocolate Thins,100g,25g,,51g,cookie,,63g,6.3g,16g,,2140kJ,0g,0.6g,,
Julie's Oat 25 Cookies - Hazelnuts &amp; Chocolate Chips,25g,6g,80mg,6.5g,cookie,,16g,0g,3g,,130kcal,,,,
Lee Chocolate Chips,100g,20g,355mg,24.7g,cookie,,71.1g,5.0g,9.9g,0g,,2.4g,,,
Marks &amp; Spencer Belgian White Chocolate Chunk Cookies,100g,28.1g,,32.4g,cookie,,58.9g,5.9g,16.7g,,2152kj,32.4g,0.75g,,1.3g
Marks &amp; Spencer Mini Chocolate Chip Cookie Bags,100g,21.3g,,30.1g,cookie,,65.6g,5.9g,12.6g,,2020kj,30.1g,0.80g,,2.1g
Marks &amp; Spencer Triple Belgian Chocolate Chunk Cookies,100g,26.1g,,31g,cookie,,61.6g,5.5g,16.1g,,2124kj,31.0g,0.60g,,2.2g
Munchy's Oat Krunch - Dark Chocolate,26g,5g,50mg,7g,cookie,,18g,2g,3g,,,2g,,120kcal,
Munchy's Oat Krunch - Nutty Chocolate,26g,5g,50mg,5.8g,cookie,0g,17g,2g,2.5g,0g,,,,,1.1g
Pasta Natura Organic Chocolate Chips Biscuits - Gluten Free,100g,22g,,24g,cookie,,64g,5.2g,12g,,,,0.9g,,5g
Pasta Natura Organic Cocoa and Hazelnuts Biscuits Gluten Free,100g,21g,,12g,cookie,0mg,58g,6.2g,9.6g,0g,,5.1g,0.78g,456kcal,
Serious Food Company Serious Cookies - Chocolate Chip,17g,4.1g,56mg,5.6g,cookie,,10.4g,0.8g,2.3g,,348kj,1.1g,,,
Quaker Oats Cookies - Chocolate Chip,27g,4.7g,122.2mg,9g,cookie,1.5mg,19g,2g,,,126.4kcal,,,,
Sanwa Oat Nutrition Choco,100g,27.7g,307mg,30g,cookie,,57.3g,5.6g,,,2090kJ,,,,
Serious Food Company Serious Cookies - White Choc Macadamia,17g,4.4g,58mg,5.3g,cookie,,10.2g,0.9g,,,,,,,
