product,Per Serving,Total Fat,Sodium,Sugars,type,Attributes,Calories,Calories from Fat,Protein,Saturated Fat,Trans Fat,Cholesterol,Carbohydrate,Dietary Fibre,Energy,Salt,Monounsaturated Fat,Polyunsaturated Fat,Energy from Fat
Arnott's Tim Tam Biscuits - Chewy Caramel,100g,23.9g,193mg,46.8g,cream,Per Serving (100g),,,4.7g,13.7g,,,65.1g,,2080kJ,,,,
Cowhead Sandwich Crackers with Calcium - Cheese,24g,6g,140mg,4g,cream,Per Serving (24g),,,2g,3.5g,,,15g,140mg,0kJ,,,,
Glico Collon Biscuit Roll - Chocolate,46g,11g,12mg,17.9g,cream,Per Serving (46g),,,2.9g,5.6g,,10mg,31.1g,1.5g,235kcal,,,,99kcal
Jack 'n Jill Dewberry Sandwich Biscuits - Blueberry,36g,9.9g,183mg,12.6g,cream,Per Serving (36g),,,2.1g,3.8g,0.0g,5mg,21.8g,0.7g,185kcal,,,,
Jack 'n Jill Dewberry Sandwich Biscuits - Strawberry,36g,7.9g,100mg,12g,cream,Per Serving (36g),,,2.2g,4.4g,0g,6mg,23.8g,0.7g,175kcal,,,,
Julie's Le-Mond Sandwich Biscuits - Cheddar Cheese,18g,4.6g,88mg,2.7g,cream,Per Serving (18g),,,1.4g,1.3g,0.4g,2.4g,10.8g,0.5g,91kcal,,,,
Julie's Le-Mond Sandwich Biscuits - Lemon,17g,3.9g,96mg,3.4g,cream,Per Serving (17g),,,0.3g,1.4g,0.3g,2.1g,0.2g,96mg,83kcal,,,,
Julie's Sandwich Biscuits - Cheese,28g,8g,115mg,5g,cream,Per Serving (28g),150kcal,70kcal,2g,3.5g,0g,0mg,18g,0g,,,,,
Julie's Sandwich Biscuits - Peanut Butter,30g,8g,85mg,6g,cream,Per Serving (30g),160cal,70g,3g,3g,0g,0mg,18g,0g,,,,,
Khong Guan Sandwich Biscuits - Banana ,30g,9g,85mg,6g,cream,Per Serving (30g),,,2g,5g,0g,0mg,18g,,,,,,
Khong Guan Sandwich Biscuits - Cookies &amp; Cream ,27g,6.8g,97.7mg,7.3g,cream,Per Serving (27g),,,2g,3.5g,0g,0mg,17.4g,0.6g,,,,,
Khong Guan Sandwich Biscuits - Custard,30g,8g,75mg,5g,cream,Per Serving (30g),160cal,70cal,2g,4g,0g,0mg,19g,0g,,,,,
Khong Guan Sandwich Biscuits - Lemon Puff,22g,6g,117mg,4g,cream,Per Serving (22g),116kcal,54kcal,1g,3g,0g,0mg,13g,4g,,,,,
Khong Guan Sandwich Biscuits - Orange,31g,10g,85mg,8g,cream,Per Serving (31g),170kcal,90g,2g,5g,0g,0mg,18g,0g,,,,,
Lotus Biscoff Biscuit - Biscoff Cream,100g,26g,325mg,34g,cream,Per Serving,,,4.6g,15g,,,66g,,2185kJ,0.81g,,,
Lotus Biscoff Biscuits - Milk Chocolate,100g,24g,325mg,40g,cream,Per Serving,,,5.2g,13g,,,67g,,2122kJ,0.72g,,,
Meiji Hello Panda Biscuits - Chocolate,26g,7.5g,107mg,7.5g,cream,Per Serving (26g),,,1.8g,4.1g,0.1g,0mg,16.3g,0.7g,140kcal,,,,
Meiji Hello Panda Biscuits - Milk ,26g,6.9g,97mg,7.6g,cream,Per Serving (26g),,,1.7g,2.4g,0.2g,,16.9g,0.4g,137kJ,,,,
Meiji Hello Panda Biscuits - Strawberry ,26g,7g,107mg,7.6g,cream,Per Serving (26g),,,1.4g,3.9g,0.1g,0mg,17.13g,0.3g,137kcal,,,,
Munchy's Lexus Sandwich Calcium Crackers - Chocolate,19g,5g,74mg,4g,cream,Per Serving (19g),100kcal,50kcal,1g,3g,0g,0mg,12g,0g,,,,,
Munchy's Lexus Sandwich Calcium Crackers - Peanut Butter,100g,27g,314mg,20g,cream,Per Serving (100g),520kcal,240kcal,10g,10g,0g,0mg,61g,2g,,,,,
Oreo Sandwich Cookies Multipack - Chocolate Creme,29g,6g,126mg,11.2g,cream,Per Serving (29g),,,1.5g,,,,20.3g,1.2g,141kcal,,,,
Oreo Sandwich Cookies Multipack - Dark &amp; White Chocolate ,29g,6g,150mg,11g,cream,Per Serving (29.4g),,,1g,3g,0g,0mg,21g,1g,140kcal,,2.5g,0.5g,
Oreo Sandwich Cookies Multipack - Strawberry ,29g,5.9g,142mg,11.2g,cream,Per Serving (29g),,,1.5g,,,,20.9g,0.6g,141kcal,,,,
Ritz Sandwich Biscuits Multipack - Chocolate Cream,27g,7.1g,83mg,6.3g,cream,Per Serving (27g),,,1.4g,3.2g,0g,,16.7g,,136kcal,,,,
